,Betweenness Centrality,Clustering Coefficient,Degree,Eigenvector Centrality,Load Centrality
0,0.0031014724677355977,0.16666666666666666,"(0, 12)",0.025992287051776686,0.003072839476050528
1,0.0014899704933065265,0.26666666666666666,"(1, 10)",0.02162937622391246,0.0014572151228015118
2,0.0012148378980184173,0.2777777777777778,"(2, 9)",0.01847533577565231,0.0012311110862318424
3,0.0016667999427533097,0.26666666666666666,"(3, 10)",0.02139895404335341,0.001649808411907226
4,0.0016304856586304662,0.24444444444444444,"(4, 10)",0.02053917567125099,0.0016029701697955268
5,0.0020458438522836047,0.15555555555555556,"(5, 10)",0.020021899800327425,0.002031385580397498
6,0.0023527878664110417,0.24242424242424243,"(6, 12)",0.02358209418535266,0.002360090348335556
7,0.0024196879983062252,0.16666666666666666,"(7, 9)",0.01954741249560895,0.0024540871197432715
8,0.0011500978258416126,0.3333333333333333,"(8, 9)",0.017382239502707036,0.0011246051858337938
9,0.00225911314214184,0.1111111111111111,"(9, 9)",0.017746580370058693,0.002285751197864662
10,0.0020315091082307095,0.2222222222222222,"(10, 10)",0.018115038831739833,0.002044558151046316
11,0.0022049007562104303,0.1111111111111111,"(11, 9)",0.01719341356955522,0.002186824081564996
12,0.002916466668352595,0.13333333333333333,"(12, 10)",0.017671767155748204,0.002910286387678384
13,0.0025137023174884904,0.2,"(13, 10)",0.018143808835289543,0.0025582392454607797
14,0.0023631710312190636,0.15555555555555556,"(14, 10)",0.01620364097522438,0.0023442214936339745
15,0.0005971997255311107,0.4444444444444444,"(15, 9)",0.014747638999765961,0.0005482941367908885
16,0.0005885339126631506,0.4722222222222222,"(16, 9)",0.014604218801957499,0.0005420150192316497
17,0.0016138997986187703,0.35555555555555557,"(17, 10)",0.016726231645598295,0.0016012538457538714
18,0.0008447082516319265,0.4444444444444444,"(18, 9)",0.013651719701325636,0.0008462685301947859
19,0.0014630599981533291,0.35555555555555557,"(19, 10)",0.015516200126002687,0.001483218556349034
20,0.0023982863150574453,0.2545454545454545,"(20, 11)",0.020659981931146737,0.0023829612030205984
21,0.002353207800003639,0.24444444444444444,"(21, 10)",0.016977258525477885,0.0024139080780306073
22,0.001568486332229296,0.28888888888888886,"(22, 10)",0.015896355927713924,0.0015925639590175721
23,0.0010213350341466449,0.3333333333333333,"(23, 9)",0.014181049786139146,0.0010142986807741999
24,0.000981873479536863,0.3333333333333333,"(24, 9)",0.015007394061797715,0.0009687658478349963
25,0.0005407761814167446,0.35714285714285715,"(25, 8)",0.013626217303007738,0.000499715222144764
